0.01,0.239979613
0.0105,0.239541284
0.011,0.237808359
0.0115,0.237553517
0.012,0.238358818
0.0126,0.239092762
0.0132,0.239959225
0.0138,0.240856269
0.0145,0.241763507
0.0151,0.24266055
0.0158,0.243975535
0.0166,0.244821611
0.0174,0.243007136
0.0182,0.239898063
0.0191,0.237043833
0.02,0.239520897
0.0209,0.242375127
0.0219,0.239449541
0.0229,0.236666667
0.024,0.232650357
0.0251,0.227940877
0.0263,0.230662589
0.0275,0.231845056
0.0288,0.233812436
0.0302,0.234658512
0.0316,0.234943935
0.0331,0.235392457
0.0347,0.236472987
0.0363,0.23764526
0.038,0.23861366
0.0398,0.239561672
0.0417,0.240540265
0.0437,0.241610601
0.0457,0.242945973
0.0479,0.244638124
0.0501,0.246218145
0.0525,0.247594292
0.055,0.247278287
0.0575,0.247808359
0.0603,0.249398573
0.0631,0.250173293
0.0661,0.251957187
0.0692,0.255698267
0.0724,0.264087666
0.0759,0.271406728
0.0794,0.273751274
0.0832,0.289062181
0.0871,0.289001019
0.0912,0.293832824
0.0955,0.334138634
0.1,0.360203874
0.1047,0.378552497
0.1096,0.371488277
0.1148,0.375565749
0.1202,0.360917431
0.1259,0.340091743
0.1318,0.398297655
0.138,0.442150866
0.1445,0.516004077
0.1514,0.538460754
0.1585,0.487787971
0.166,0.437614679
0.1738,0.418440367
0.182,0.407196738
0.1905,0.48833843
0.1995,0.518297655
0.2089,0.468960245
0.2188,0.455535168
0.2291,0.47617737
0.2399,0.465249745
0.2512,0.641569827
0.263,0.817971458
0.2754,0.910336391
0.2884,0.922120285
0.302,0.843088685
0.3162,0.786391437
0.3311,0.692874618
0.3467,0.711294597
0.3631,0.801936799
0.3802,0.783007136
0.3981,0.647706422
0.4169,0.565249745
0.4365,0.555739042
0.4571,0.55088685
0.4786,0.598256881
0.5012,0.546034659
0.5248,0.355698267
0.5495,0.291824669
0.5754,0.297359837
0.6026,0.285637105
0.631,0.222120285
0.6607,0.193975535
0.6918,0.164923547
0.7244,0.160519878
0.7586,0.1490316
0.7943,0.138450561
0.8318,0.120519878
0.871,0.098234455
0.912,0.076872579
0.955,0.074882773
1,0.067974516
1.0471,0.054920489
1.0965,0.047611621
1.1482,0.038206932
1.2023,0.030756371
1.2589,0.025712538
1.3183,0.025543323
1.3804,0.023856269
1.4454,0.019682977
1.5136,0.018120285
1.5849,0.015732926
1.6596,0.01527421
1.7378,0.013805301
1.8197,0.014001019
1.9055,0.013540265
1.9953,0.012149847
2.0893,0.010172477
2.1878,0.008709072
2.2909,0.007975841
2.3988,0.007607034
2.5119,0.007512436
2.6303,0.007421101
2.7542,0.007188277
2.884,0.006700917
3.02,0.005916208
3.1623,0.005029562
3.3113,0.004204587
3.4674,0.003462385
3.6308,0.00287737
3.8019,0.002437513
3.9811,0.00216371
4.1687,0.001905607
4.3652,0.001654944
4.5709,0.001494903
4.7863,0.001441896
5.0119,0.001380428
5.2481,0.001310398
5.4954,0.001247706
5.7544,0.001195821
6.0256,0.001140673
6.3096,0.001067686
6.6069,0.0009763
6.9183,0.000880652
7.2444,0.000797441
7.5858,0.000734954
7.9433,0.000689613
8.3176,0.000650357
8.7096,0.000605749
9.1201,0.00054947
9.5499,0.000481937
10,0.000430571
